pcf_id,pcf_cost,pcf_stock,ingram_id,ingram_cost,ingram_stock,intcomex_id,intcomex_cost,intcomex_stock
20551,5800.0,505.0,3002593,6.38,1898.0,BT5001M,6.4,20.0
20552,7053.0,0.0,3002825,7.37,603.0,BT6001BK,7.4,20.0
20553,5800.0,495.0,3002594,6.38,1651.0,BT5001Y,6.4,20.0
21038,75790.0,104.0,2895754,91.7,21.0,DCP-1602,91.8,20.0
21091,10020.0,-1.0,3065081,10.55,2400.0,F6V29AL,11.1,20.0
21092,9898.0,-2.0,3065080,10.49,4406.0,F6V28AL,10.6,20.0
21093,30081.0,-1.0,3065083,32.17,78.0,F6V31AL,32.4,20.0
21094,29767.0,3.0,3065082,30.35,296.0,F6V30AL,31.1,20.0
21141,10613.0,1.0,3065078,11.27,120.0,CZ637AL,12.0,20.0
22631,57200.0,28.0,3255481,62.9,45.0,TN3429,62.5,20.0
22632,116100.0,7.0,3255480,127.65,156.0,DR3460,126.8,20.0
22635,107613.0,0.0,3255482,112.48,173.0,TN3479,111.8,20.0
23418,24047.0,1.0,3338018,25.31,91.0,L0S50AL,25.9,20.0
23419,23952.0,1.0,3338019,25.53,48.0,L0S53AL,25.8,20.0
23420,24350.0,0.0,3338020,25.53,2.0,L0S56AL,25.9,20.0
23421,34302.0,1.0,3338021,36.83,53.0,L0S59AL,37.4,20.0
23812,79799.0,0.0,3403895,86.16,8.0,L0R93AL,88.4,4.0
23815,120958.0,0.0,3403897,152.08,5.0,L0R99AL,157.1,20.0
23816,120993.0,0.0,3403898,152.05,6.0,L0S02AL,157.7,9.0
23817,135430.0,0.0,3403899,152.64,14.0,L0S05AL,158.0,1.0
24361,304584.0,0.0,3286831,294.09,3.0,C11CE05302,285.31,6.0
24560,7233.0,3.0,2893718,5.31,43.0,K97331WW,5.6,7.0
24826,25800.0,163.0,3511521,32.0,191.0,PTH110BK,31.4,20.0
24905,7294.0,3.0,3425685,7.88,3879.0,M0H54AL,8.1,20.0
24908,7006.0,47.0,3425686,7.87,3933.0,M0H55AL,8.1,20.0
24909,7352.0,1.0,3425687,7.88,3268.0,M0H56AL,8.1,20.0
25213,110977.0,46.0,4490865,121.9,153.0,WDBU6Y0020BBK-WESN,129.0,20.0
25231,16248.0,6.0,3578885,16.71,55.0,LC3017BK,16.8,20.0
25232,10200.0,5.0,3578886,11.22,60.0,LC3017C,11.3,20.0
25233,10895.0,4.0,3578887,11.22,69.0,LC3017M,11.3,20.0
25234,10179.0,1.0,3578888,11.22,64.0,LC3017Y,11.3,20.0
25235,28632.0,6.0,3578889,29.46,49.0,LC3019BK,29.6,20.0
25237,17723.0,8.0,3578891,18.25,27.0,LC3019M,18.4,20.0
25238,17723.0,6.0,3578892,18.25,17.0,LC3019Y,18.4,20.0
25593,29274.0,0.0,3406985,31.26,11.0,T6M12AL,30.5,9.0
25594,29274.0,0.0,3406974,31.26,23.0,T6M08AL,30.6,4.0
26169,88600.0,42.0,3693015,88.35,2.0,QL-800,97.5,5.0
26241,17147.0,5.0,3695095,17.93,39.0,DK2251,17.0,20.0
26951,93669.0,0.0,3406410,99.72,23.0,CF232A,113.8,20.0
27246,5932.0,0.0,1188594,6.2,428.0,M231,7.0,20.0
28848,6700.0,319.0,5190203,7.37,921.0,BTD60BK,7.4,20.0
29652,7285.0,300.0,4202399,7.61,6748.0,T504120-AL,7.8,20.0
29653,6555.0,320.0,4202400,6.88,5773.0,T504220-AL,7.0,20.0
29654,6555.0,304.0,4202401,6.87,5902.0,T504320-AL,7.0,20.0
29655,6555.0,305.0,4202402,6.88,5504.0,T504420-AL,7.0,20.0
29932,52611.0,0.0,4149401,56.18,22.0,CF248A,56.4,20.0
31611,30100.0,0.0,4373230,53.99,76.0,TN213C,54.2,20.0
31612,30100.0,0.0,4373231,53.99,52.0,TN213M,54.2,20.0
31613,30100.0,0.0,4373232,53.99,31.0,TN213Y,54.2,20.0
31614,62709.0,-1.0,4373233,65.54,84.0,TN217BK,65.7,20.0
31615,68389.0,1.0,4373234,71.46,28.0,TN217C,71.7,20.0
31616,68389.0,0.0,4373235,71.46,20.0,TN217M,71.7,20.0
31617,68389.0,1.0,4373236,71.46,42.0,TN217Y,71.7,20.0
31645,6555.0,1.353,4354416,6.92,16797.0,T544120-AL,7.0,20.0
31646,6555.0,97.0,4354417,6.84,6997.0,T544220-AL,7.0,20.0
31647,6555.0,150.0,4354418,6.84,7265.0,T544320-AL,7.0,20.0
31648,6555.0,85.0,4354419,6.84,7327.0,T544420-AL,7.0,20.0
32648,43233.0,0.0,3348479,45.2,184.0,T748XXL120-AL,44.4,20.0
